idEntrada;usuarioOnline;statusSaida;paginaSaida;avaliacao.r;dataHoraEntrada;dataHoraSaida;dataHoraErro;tempoAcesso;codigo;erro
401;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;231;500;"""CHAVE PIX INCORRETA"""
417;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;229;500;"""CHAVE PIX INCORRETA"""
606;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;215;500;"""CHAVE PIX INCORRETA"""
672;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;205;500;"""CHAVE PIX INCORRETA"""
827;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;196;500;"""CHAVE PIX INCORRETA"""
165;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;190;500;"""CHAVE PIX INCORRETA"""
180;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;185;500;"""CHAVE PIX INCORRETA"""
15;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;173;500;"""CHAVE PIX INCORRETA"""
294;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;171;500;"""CHAVE PIX INCORRETA"""
856;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;168;500;"""CHAVE PIX INCORRETA"""
75;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;157;500;"""CHAVE PIX INCORRETA"""
516;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;152;500;"""CHAVE PIX INCORRETA"""
889;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;148;500;"""CHAVE PIX INCORRETA"""
573;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;146;500;"""CHAVE PIX INCORRETA"""
588;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;146;500;"""CHAVE PIX INCORRETA"""
207;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;145;500;"""CHAVE PIX INCORRETA"""
694;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;145;500;"""CHAVE PIX INCORRETA"""
977;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;144;500;"""CHAVE PIX INCORRETA"""
105;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;126;500;"""CHAVE PIX INCORRETA"""
962;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:06;18/05/2021 18:04;516;500;"""CLIENTE NAO CADASTRADO"""
97;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;502;500;"""CLIENTE NAO CADASTRADO"""
343;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:04;441;500;"""CLIENTE NAO CADASTRADO"""
489;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;435;500;"""CLIENTE NAO CADASTRADO"""
834;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:04;422;500;"""CLIENTE NAO CADASTRADO"""
424;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;393;500;"""CLIENTE NAO CADASTRADO"""
716;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;375;500;"""CLIENTE NAO CADASTRADO"""
187;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;373;500;"""CLIENTE NAO CADASTRADO"""
848;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:03;365;500;"""CLIENTE NAO CADASTRADO"""
331;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;362;500;"""CLIENTE NAO CADASTRADO"""
393;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;346;500;"""CLIENTE NAO CADASTRADO"""
545;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;344;500;"""CLIENTE NAO CADASTRADO"""
271;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;341;500;"""CLIENTE NAO CADASTRADO"""
925;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;320;500;"""CLIENTE NAO CADASTRADO"""
112;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;313;500;"""CLIENTE NAO CADASTRADO"""
157;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;308;500;"""CLIENTE NAO CADASTRADO"""
37;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;306;500;"""CLIENTE NAO CADASTRADO"""
881;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;297;500;"""CLIENTE NAO CADASTRADO"""
7;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;295;500;"""CLIENTE NAO CADASTRADO"""
67;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;294;500;"""CLIENTE NAO CADASTRADO"""
82;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;286;500;"""CLIENTE NAO CADASTRADO"""
801;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;283;500;"""CLIENTE NAO CADASTRADO"""
642;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;273;500;"""CLIENTE NAO CADASTRADO"""
910;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;271;500;"""CLIENTE NAO CADASTRADO"""
127;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;268;500;"""CLIENTE NAO CADASTRADO"""
459;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;268;500;"""CLIENTE NAO CADASTRADO"""
627;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;260;500;"""CLIENTE NAO CADASTRADO"""
528;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;257;500;"""CLIENTE NAO CADASTRADO"""
286;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;256;500;"""CLIENTE NAO CADASTRADO"""
211;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;254;500;"""CLIENTE NAO CADASTRADO"""
172;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;248;500;"""CLIENTE NAO CADASTRADO"""
381;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;244;500;"""CLIENTE NAO CADASTRADO"""
299;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;243;500;"""CLIENTE NAO CADASTRADO"""
580;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;243;500;"""CLIENTE NAO CADASTRADO"""
52;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;237;500;"""CLIENTE NAO CADASTRADO"""
664;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;237;500;"""CLIENTE NAO CADASTRADO"""
256;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;229;500;"""CLIENTE NAO CADASTRADO"""
366;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;215;500;"""CLIENTE NAO CADASTRADO"""
22;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;214;500;"""CLIENTE NAO CADASTRADO"""
474;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;211;500;"""CLIENTE NAO CADASTRADO"""
142;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;209;500;"""CLIENTE NAO CADASTRADO"""
825;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;208;500;"""CLIENTE NAO CADASTRADO"""
225;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;196;500;"""CLIENTE NAO CADASTRADO"""
843;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;185;500;"""CLIENTE NAO CADASTRADO"""
748;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;182;500;"""CLIENTE NAO CADASTRADO"""
984;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;178;500;"""CLIENTE NAO CADASTRADO"""
999;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;177;500;"""CLIENTE NAO CADASTRADO"""
409;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;175;500;"""CLIENTE NAO CADASTRADO"""
199;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;167;500;"""CLIENTE NAO CADASTRADO"""
947;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;160;500;"""CLIENTE NAO CADASTRADO"""
701;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;153;500;"""CLIENTE NAO CADASTRADO"""
679;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;138;500;"""CLIENTE NAO CADASTRADO"""
349;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;123;500;"""CLIENTE NAO CADASTRADO"""
981;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:06;18/05/2021 18:05;517;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
196;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;480;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
471;0;100%;0;positiva;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;477;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
139;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:03;469;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
878;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:05;461;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
421;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:05;18/05/2021 18:04;454;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
860;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:04;435;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
875;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;418;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
451;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;412;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
525;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;374;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
831;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;367;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
320;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;349;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
34;0;40%;3;n/ avaliado;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:02;345;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
661;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;344;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
907;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;339;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
49;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;334;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
486;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;333;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
822;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:03;18/05/2021 18:01;329;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
19;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;324;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
316;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;324;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
577;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;321;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
845;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;318;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
328;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;316;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
639;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;316;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
222;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;314;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
562;0;20%;4;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;309;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
169;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:02;302;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
595;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;300;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
592;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;296;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
283;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;286;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
390;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;282;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
840;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:01;276;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
363;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:02;18/05/2021 18:00;273;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
233;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;266;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
745;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;265;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
79;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;262;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
624;0;60%;2;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;261;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
378;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:01;257;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
4;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;248;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
296;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;248;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
557;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;234;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
713;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;229;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
996;0;40%;3;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;229;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
340;0;20%;4;positiva;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;228;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
698;0;100%;0;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;228;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
520;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;218;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
540;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;216;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
922;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 17:59;215;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
124;1;80%;1;n/ avaliado;18/05/2021 17:57;18/05/2021 18:01;18/05/2021 18:00;209;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
253;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;199;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
109;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 18:00;194;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
798;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;186;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
542;0;100%;0;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;184;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
208;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;169;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
501;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:59;168;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
94;0;40%;3;negativa;18/05/2021 17:57;18/05/2021 18:00;18/05/2021 17:58;165;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
241;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;145;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
944;0;60%;2;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;139;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
610;1;80%;1;positiva;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:58;138;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
184;1;80%;1;negativa;18/05/2021 17:57;18/05/2021 17:59;18/05/2021 17:59;136;550;"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
131;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:03;413;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
386;0;20%;4;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:04;405;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
311;0;60%;2;negativa;18/05/2021 17:57;18/05/2021 18:04;18/05/2021 18:02;396;500;"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
